linea,estacion,direccion,comuna,este,norte,longitud,latitud
L1,SAN PABLO L1,Av. San Pablo 6190,LO PRADO,339837.0,6298000.0,-70.723118,-33.445454
L1,NEPTUNO,Av. Neptuno Oriente frente al 260,LO PRADO,339892.7606,6297326.8838,-70.7226457231,-33.4515363785
L1,PAJARITOS,Av. General Bonilla 5900,LO PRADO,340527.1653,6296685.0924,-70.7159366252,-33.4574171848
L1,LAS REJAS,Av. Libertador Bernardo O`Higgins 6056,ESTACION CENTRAL,341462.6711,6296705.8657,-70.7058707613,-33.4573687921
L1,ECUADOR,Av. Libertador Bernardo O`Higgins Frente al 4620,ESTACION CENTRAL,341905.437,6296835.3721,-70.7010856004,-33.4562666496
L1,SAN ALBERTO HURTADO,Av. Libertador Bernardo O`Higgins Frente al 4102,ESTACION CENTRAL,348825.5179,6299475.0188,-70.6262085328,-33.4334665259
L1,UNIVERSIDAD DE SANTIAGO,Av. Libertador Bernardo O`Higgins Frente al 3702,ESTACION CENTRAL,343266.9868,6297238.5147,-70.6863706043,-33.4528321137
L1,ESTACION CENTRAL,Av. Libertador Bernardo O`Higgins Frente al 3322,ESTACION CENTRAL,343934.7577,6297466.4296,-70.6791487979,-33.4508747721
L1,UNION LATINOAMERICANA,Av. Libertador Bernardo O`Higgins 2841,SANTIAGO,344461.2902,6297635.9721,-70.673456434,-33.4494227802
L1,REPUBLICA,Av. Libertador Bernardo O`Higgins 2275,SANTIAGO,350091.4824,6300441.6279,-70.6124338697,-33.424929207
L1,LOS HEROES L1,Av. Libertador Bernardo O`Higgins 1774,SANTIAGO,345548.0,6297979.0,-70.661705,-33.446487
L1,LA MONEDA,Av. Libertador Bernardo O`Higgins 1330,SANTIAGO,346187.8158,6298170.2531,-70.6547958639,-33.4448550099
L1,UNIVERSIDAD DE CHILE,Av. Libertador Bernardo O`Higgins 1020,SANTIAGO,346604.6034,6298297.7748,-70.6502916805,-33.4437650271
L1,SANTA LUCIA,Av. Libertador Bernardo O´Higgins N°511,SANTIAGO,347075.4295,6298439.555,-70.6452040233,-33.4425540356
L1,UNIVERSIDAD CATOLICA,Av. Libertador Bernardo O`Higgins 270,SANTIAGO,347551.6154,6298746.6212,-70.6400308121,-33.4398533694
L1,BAQUEDANO L1,Av. Providencia 011,PROVIDENCIA,348189.0,6299042.0,-70.633119,-33.437277
L1,SALVADOR,Av. Providencia 700,PROVIDENCIA,345054.9578,6297836.0609,-70.6670369446,-33.44770483
L1,MANUEL MONTT,Av. Providencia 1337,PROVIDENCIA,349496.1105,6299958.6384,-70.6189163946,-33.4292005093
L1,PEDRO DE VALDIVIA,Av. Providencia 1880,PROVIDENCIA,342712.0362,6297075.1391,-70.6923679557,-33.4542237258
L1,LOS LEONES L1,Av. Nueva Providencia 2249,PROVIDENCIA,350438.5753,6300752.5781,-70.6086500598,-33.4221740884
L1,TOBALABA L1,Av. Tobalaba 117,PROVIDENCIA,350977.0,6301143.0,-70.602792,-33.418722
L1,EL GOLF,Av. Apoquindo Frente al Nº3231,LAS CONDES,351618.7857,6301382.5852,-70.5958563387,-33.416657734
L1,ALCANTARA,Av. Apoquindo Frente al 3885,LAS CONDES,352190.5053,6301526.5357,-70.5896858425,-33.4154387733
L1,ESCUELA MILITAR,Av. Apoquindo Frente al 4502,LAS CONDES,352658.066,6301660.9831,-70.5846369001,-33.4142908812
L1,MANQUEHUE,Av. Apoquindo Frente al 5875,LAS CONDES,354184.6624,6302268.0533,-70.5681256167,-33.409025904
L1,HERNANDO DE MAGALLANES,Av. Apoquindo 7095,LAS CONDES,355347.891,6302398.5669,-70.5555990885,-33.4080065974
L1,LOS DOMINICOS,Av. Apoquindo 8613,LAS CONDES,356325.9436,6302425.3639,-70.5450801049,-33.4078963976
L2,HOSPITAL EL PINO,Avenida Padre Hurtado 13378,EL BOSQUE,,,-70.677098,-33.5829441
L2,COPA LO MARTINEZ,Avenida Padre Hurtado 12287,EL BOSQUE,,,-70.67378362,-33.57044368
L2,OBSERVATORIO,Avenida Padre Hurtado 11828,EL BOSQUE,345001.0,6285373.0,-70.670341,-33.560345
